Data;Institucija;Pirkinys yra:;Pirkinio pavadinimas;Matavimo vienetai;Kiekis;Sutarties vertë (Eur) su PVM (þodþiu sudarytos sutarties atveju-  sàskaitoje faktûroje ar kt  mokëjimo dokumente nurodyta vertë (Eur) su PVM);Pirkimo bûdas;Laimëjusio dalyvio pavadinimas;BVPÞ kodas.;Sutarties ásipareigojimø dalis, kuriai laimëtojas ketina pasitelkti treèiuosius asmenis kaip subrangovus, subtiekëjus ar subteikëjus
2016.07.07;Ðiauliø sanatorinë mokykla;Prekës;Elektros medþiagos, statybinës medþiagos ir panaðûs gaminiai;Vnt. (vienetai);34;55,79;Apklausa þodþiu;"UAB ,,Makveþa"":";31681410-0, 44100000-1;nëra
2016.07.07;Lopðelis-darþelis „Eglutë“;Prekës;Dekoratyvinë þoliø puokðtë;Vnt. (vienetai);4;79,6;Apklausa þodþiu;"UAB ""Alan Deko""";39293000-2;-
2016.07.07;Lopðelis-darþelis „Coliukë“;Paslaugos;Kompiuterio remontas ir profilaktika;Vnt. (vienetai);1;48,4;Neskelbiama apklausa raðtu;UAB ORGSITA;50321000-1;-
2016.07.07;Lopðelis-darþelis „Coliukë“;Prekës;Statybinës medþiagos;Vnt. (vienetai);22;62,42;Apklausa þodþiu;UAB ERMITApklausa þodþiuAS;44111000-1;-
2016.07.07;BÁ Ðiauliø kultûros centras;Paslaugos;IT paslaugos: konsultavimas, programinës árangos kûrimas, internetas ir aptarnavimo paslaugos;Vnt. (vienetai);13;45;Apklausa þodþiu;"MB ,,Elektroninës Vizijos""";72000000-5;-
2016.07.07;BÁ Ðiauliø kultûros centras;Paslaugos;Meninës paslaugos;Vnt. (vienetai);1;200;Apklausa þodþiu;"VðÁ ,,Renginiø dinamika""";92312000-1;-
2016.07.07;BÁ Ðiauliø kultûros centras;Paslaugos;Pramoginiø laidø ir vakarø vedëjø paslaugos;Vnt. (vienetai);1;122,54;Apklausa þodþiu;Aivaras Bukantis;92312251-5;-
2016.07.07;BÁ Ðiauliø kultûros centras;Paslaugos;Meninës paslaugos;Vnt. (vienetai);1;160;Apklausa þodþiu;"VðÁ Ðiauliø teatras vaikams ,,Birbironas""";92312000-1;-
2016.07.07;BÁ Ðiauliø kultûros centras;Paslaugos;Meninës paslaugos;Vnt. (vienetai);1;100;Apklausa þodþiu;Juozas Gavenauskas;92312000-1;-
2016.07.07;BÁ Ðiauliø miesto savivaldybës vieðoji biblioteka;Prekës;Knygos;Vnt. (vienetai);25;190,2;CVP IS Pirkimas 284123;"UAB Leidykla ""Sofoklis""";22110000-4;-
2016.07.08;Lopðelis-darþelis „Trys nykðtukai“;Prekës;statybinës medþiagos;Vnt. (vienetai);362;409,34;Apklausa þodþiu;"UAB ""Ðiauliø lyra""";44190000-8;-
2016.07.08;Sporto mokykla „Atþalynas“;Paslaugos;Tentas ir jo maketavimas;Vnt. (vienetai);1;74,15;Apklausa þodþiu;"UAB Giftika"" ";22000000;nëra
2016.07.08;Sporto mokykla „Atþalynas“;Prekës;Medaliai;Vnt. (vienetai);50;199,6;Apklausa þodþiu;"UAB ""Taurës""          ";37000000;Nëra
2016.07.08;Lopðelis -darþelis „Gintarëlis“;Prekës;Planetarinë maiðyklë;Vnt. (vienetai);1;971,93;Apklausa þodþiu;Baltijos Importas;31000000;-
2016.07.08;Lopðelis-darþelis „Þiburëlis“;Paslaugos;"Kanalizacijos ir vandentiekio vamzdyno keitimas,seno vamzdyno iðmontavimas.8 grupiø klozetø,praustuviø,maiðytuvø,sifonø,duðo padëklø ir jø priedø keitimas.8 grupiø prausyklø-tualetø patalpø remontas;plyteliø grindims ir sien oms klijav imas,patalpø daþymas,pertvarø árengimas ir durø keitimas";Vnt. (vienetai);8;42999,08;Neskelbiama apklausa raðtu;UAB,,REFORSAS'';50000000;NE
2016.07.08;BÁ Ðiauliø kultûros centras;Paslaugos;Spausdinimo ir susijusios paslaugos;Vnt. (vienetai);40;30;Apklausa þodþiu;UAB Ðiauliø spaustuvë;79800000-2;-
2016.07.08;BÁ Ðiauliø kultûros centras;Paslaugos;Reklamos paslaugos;Vnt. (vienetai);1;36,5;Apklausa þodþiu;"UAB ,,Antroji reklamos atelje""";79341000-6;-
2016.07.08;BÁ Ðiauliø kultûros centras;Prekës;Muzikos instrumentai, sporto prekës, þaidimai, þaislai, rankdarbiai, meno kûriniai ir jø priedai;Vnt. (vienetai);10;30,25;Apklausa þodþiu;Jolitos Girijotienës individuali ámonë;37000000-8;-
2016.07.08;BÁ Ðiauliø kultûros centras;Prekës;Virðutiniai drabuþiai;Vnt. (vienetai);3;23,55;Apklausa þodþiu;UAB Yzi reklama;18200000-1;-
2016.07.08;BÁ Ðiauliø miesto savivaldybës vieðoji biblioteka;Prekës;Knygos;Vnt. (vienetai);60;261,48;CVP IS Pirkimas 284123;"UAB ""Nieko rimto""";22110000-4;-
2016.07.08;BÁ Ðiauliø miesto savivaldybës vieðoji biblioteka;Prekës;Knygos;Vnt. (vienetai);1;15,75;CVP IS Pirkimas 277424;"UAB ""Alma littera sprendimai""";22110000-4;-
2016.07.08;BÁ Ðiauliø miesto savivaldybës Socialiniø paslaugø centras;Prekës;Gëlës;Vnt. (vienetai);11;10,4;Apklausa þodþiu;"UAB ""Miksflora""";0312121-0;-
2016.07.11;Ðiauliø sutrikusios klausos vaikø ugdymo centras;Prekës;Vaikiðkos knygutës;Vnt. (vienetai);13;113;Apklausa þodþiu;"UAB ,,VIP supply""";22110000;Ne
2016.07.11;Logopedinis lopðelis - darþelis;Prekës;Ávairûs rankiniai árankiai;Vnt. (vienetai);3;3,5;Apklausa þodþiu;"UAB ,,Makveþa""";44512000-2;-
2016.07.11;Logopedinis lopðelis - darþelis;Prekës;"Ávairûs rankiniai árankiai; Ávairios statybinës medþiagos";Vnt. (vienetai);16;30,86;Apklausa þodþiu;"UAB ,,Makveþa""";"44512000-2; 44190000-8";-
2016.07.11;Ðiauliø sanatorinë mokykla;Prekës;Árankiai, spynos, raktai, vyriai, tvirtinimo detalës, grandinës ir spyruoklës;Vnt. (vienetai);42;30,62;Apklausa þodþiu;"UAB ,,Makveþa""";44500000-5;nëra
2016.07.11;Ðiauliø sanatorinë mokykla;Prekës;Kiti vaistai;Vnt. (vienetai);124;151,07;Apklausa þodþiu;"UAB ,,Euro vaistinë""";33690000-3;nëra
2016.07.11;Ðiauliø sutrikusios klausos vaikø ugdymo centras;Prekës;Ávairûs spaudiniai;Vnt. (vienetai);13;113;Apklausa þodþiu;"UAB ,,VIPsupply """;22900000;Ne
2016.07.11;Lopðelis-darþelis „Coliukë“;Paslaugos;Elekroninës paslaugos;Vnt. (vienetai);3;26,46;Neskelbiama apklausa raðtu;MB Elektroninës vizijos;31700000-3;-
2016.07.11;BÁ Ðiauliø kultûros centras;Paslaugos;Meninës paslaugos;Vnt. (vienetai);1;800;Apklausa þodþiu;Kelmës kultûros centras;92312000-1;-
2016.07.11;BÁ Ðiauliø kultûros centras;Paslaugos;Ávairios su verslu susijusios paslaugos;Vnt. (vienetai);20;193,6;Apklausa þodþiu;"UAB ,,TOI-TOI Lietuva""";79990000-0;-
2016.07.11;BÁ Ðiauliø kultûros centras;Paslaugos;Reklamos paslaugos;Vnt. (vienetai);1;36,5;Apklausa þodþiu;"VðÁ ,,Ðiauliai plius""";79341000-6;-
2016.07.11;BÁ Ðiauliø kultûros centras;Prekës;Akumuliatoriai, galvaniniai elementai ir baterijos;Vnt. (vienetai);7;3;Apklausa þodþiu;"UAB ,,Milgreta""";31400000-0;-
2016.07.11;BÁ Ðiauliø kultûros centras;Prekës;Elektroniniai, elektromechaniniai ir elektrotechniniai reikmenys;vnt., kompl.;2;22,42;Apklausa þodþiu;"UAB ,,Milgreta""";31700000-3;-
2016.07.11;BÁ Ðiauliø kultûros centras;Paslaugos;Meninës paslaugos;Vnt. (vienetai);1;108;Apklausa þodþiu;Virginijus Barzinskis;92312000-1;-
2016.07.11;BÁ Ðiauliø miesto savivaldybës vieðoji biblioteka;Prekës;Knygos;Vnt. (vienetai);7;69,75;CVP IS Pirkimas 284123;"UAB ""Alma littera sprendimai""";22110000-4;-
2016.07.11;BÁ Ðiauliø miesto savivaldybës vieðoji biblioteka;Prekës;Knygos;Vnt. (vienetai);98;705,99;CVP IS Pirkimas 284123;"UAB ""Alma littera sprendimai""";22110000-4;-
2016.07.11;BÁ Ðiauliø miesto savivaldybës Socialiniø paslaugø centras;Paslaugos;Reklamos paslaugos;Vnt. (vienetai);2;24;Apklausa þodþiu;Martynas Abalikðta individualios veiklos paþyma;79341000-6;-
2016.07.12;Lopðelis-darþelis „Þiogelis“;Prekës;Kabelis;M;9;7,21;Apklausa þodþiu;7,21;31000000-6;-
2016.07.12;Lopðelis-darþelis „Þiogelis“;Prekës;Virtuvës árenginiai;Vnt. (vienetai);21;41,01;Apklausa þodþiu;"UAB ""Kesko Senukai Lithuania""";39220000-0;-
2016.07.12;Lopðelis-darþelis „Þiogelis“;Prekës;Cheminës, buities prekës;Vnt. (vienetai);19;37,16;Apklausa þodþiu;"UAB ""Kesko Senukai Lithuania""";39800000-0, 39220000-0;-
2016.07.12;Lopðelis-darþelis „Þiogelis“;Prekës;Buities prekës;Vnt. (vienetai);15;33,98;Apklausa þodþiu;"UAB ""Ðiauliø lyra""";39220000-0;-
2016.07.12;Lopðelis-darþelis „Trys nykðtukai“;Prekës;santechnikos prekës;Vnt. (vienetai);4;220;Apklausa þodþiu;"UAB ""Sireda""";44410000-0;-
2016.07.12;Lopðelis-darþelis „Trys nykðtukai“;Prekës;santehnikos prekës;Vnt. (vienetai);864;1136,44;Apklausa þodþiu;"UAB ""Sireda""";44410000-0;-
2016.07.12;BÁ Ðiauliø miesto savivaldybës globos namai;Prekës;Smulki biuro áranga;Vnt. (vienetai);1;42,42;Apklausa þodþiu;"UAB ,,Charlot LT""";30197000-6;-
2016.07.12;BÁ Ðiauliø miesto savivaldybës globos namai;Prekës;Ávairi biuro áranga ir reikmenys;Vnt. (vienetai);2903;2795,12;Neskelbiama apklausa raðtu;"UAB ,,CHARLOT LT""";30190000-7;-
2016.07.12;Lopðelis-darþelis „Coliukë“;Prekës;Apdailos medþiagos, atveþimas;Vnt. (vienetai);6;238,62;Apklausa þodþiu;UAB Jupojos statybinës medþiagos;44221200-7, 744221211-7, 60130000-8;-
2016.07.12;Lopðelis-darþelis „Coliukë“;Prekës;Statybinës medþiagos;Vnt. (vienetai);2;20,93;Apklausa þodþiu;UAB Jupojos SM;4400000-0;-
2016.07.12;Lopðelis-darþelis „Coliukë“;Prekës;Grindø plytelës;Vnt. (vienetai);13;4,51;Apklausa þodþiu;UAB Jupojos SM;4400000-0;-
2016.07.12;Dainø progimnazija;Prekës;Grindø dangos;kv.m.;12;136,56;Apklausa þodþiu;UAB IRIS;44112200-0 ;-
2016.07.12;Dainø progimnazija;Prekës;Ávairios statybinës medþiagos;Vnt. (vienetai);17;46,31;Apklausa þodþiu;"UAB ""Ðiauliø lyra""";44190000-8 ;-
2016.07.13;Ðiauliø sanatorinë mokykla;Prekës;Árankiai, spynos, raktai, vyriai, tvirtinimo detalës, grandinës ir spyruoklës;Vnt. (vienetai);35;34,3;Apklausa þodþiu;"UAB ,,Makveþa""";44500000-6;nëra
2016.07.13;Ðiauliø sanatorinë mokykla;Paslaugos;Transporto priemoniø ir su jomis susijusiø árenginiø remonto, prieþiûros ir kitos paslaugos;Vnt. (vienetai);1;3;Apklausa þodþiu;"UAB ,,Auto RC""";50100000-6;nëra
2016.07.13;Ðiauliø sanatorinë mokykla;Prekës;Akvariumai;Vnt. (vienetai);4;25;Apklausa þodþiu;Dianos Bitinaitës IÁ;39298800-5;nëra
2016.07.13;Ðiauliø sanatorinë mokykla;Prekës;Specialios paskirties elektros prekës;Vnt. (vienetai);82;51,24;Apklausa þodþiu;"UAB ,,Dogas""";42992000-6 ;nëra
2016.07.13;Ðiauliø sanatorinë mokykla;Prekës;Statybinës medþiagos ir panaðûs gaminiai;Vnt. (vienetai);31;14,95;Apklausa þodþiu;"UAB ,,Jupojos statybinës medþiagos""";44100000-1;nëra
2016.07.13;BÁ Ðiauliø miesto savivaldybës globos namai;Paslaugos;Prenumeratos paslaugos;Mën (mënesiai);12;68,97;Apklausa þodþiu;",,E-Z WAY"", UAB";79980000-7;-
2016.07.13;Ðiauliø miesto savivaldybës administracijos Statybos skyrius;Darbai;Statybos darbai;Mën (mënesiai);4;52580,96;Skelbiama apklausa raðtu;"UAB ""Dokesta""";45000000-7;50 proc.
2016.07.13;Ðiauliø Normundo Valterio jaunimo mokykla;Prekës;Izoliacinis stiklas;Vnt. (vienetai);1;25,2;Skelbiama apklausa raðtu;UAB ,, Bodesa '';44111540;Nëra
2016.07.13;Ðiauliø Normundo Valterio jaunimo mokykla;Prekës;Þemës ûkio maðinø dalys;Vnt. (vienetai);1;30;Skelbiama apklausa raðtu;UAB ,, Gitana '';16810000;Nëra
2016.07.13;BÁ Ðiauliø kultûros centras;Paslaugos;Techninio tikrinimo, analizës ir konsultavimo paslaugos;Vnt. (vienetai);4;17,09;Apklausa þodþiu;VALSTYBINË ENERGETIKOS INSPEKCIJA PRIE ENERGETIKOS MINISTERIJOS;71600000-4;-
2016.07.13;BÁ Ðiauliø kultûros centras;Paslaugos;Remonto, prieþiûros ir kitos paslaugos, susijusios su asmeniniais kompiuteriais, biuro áranga, telekomunikacijø bei garso ir vaizdo áranga;Vnt. (vienetai);1;4;Apklausa þodþiu;"UAB ,,D&G Kompiuteriai""";50300000-8;-
2016.07.13;BÁ Ðiauliø miesto savivaldybës vieðoji biblioteka;Paslaugos;Kanalizacijos vamzdyno valymas;metrai;15;54,45;Skubos atveju kviesta tarnyba;"Bendra Lietuvos ir Baltarusijos ámonë ""Liebara""";90912000-3;-
2016.07.13;BÁ Ðiauliø miesto savivaldybës vieðoji biblioteka;Prekës;Knygos;Vnt. (vienetai);7;49,3;CVP IS Pirkimas 284123;"UAB ""Humanitas""";22110000-4;-
2016.07.13;BÁ Ðiauliø miesto savivaldybës Socialiniø paslaugø centras;Paslaugos;Mokomoji programa, edukacinis uþsiëmimas;Vnt. (vienetai);9;4,5;Apklausa þodþiu;"Ðiauliø ""Auðros "" muziejus";80521000-2;-
2016.07.14;Lopðelis-darþelis „Trys nykðtukai“;Prekës;statybinës medþiagos;Vnt. (vienetai);2;12,53;Apklausa þodþiu;"UAB ""Ðiauliø lyra""";44190000-8;-
2016.07.14;Ðiauliø sanatorinë mokykla;Paslaugos;Informavimui ir reklamai skirti produktai;Kartai;8;111,07;Apklausa þodþiu;"UAB ,,VVARFF""";39294100-0;nëra
2016.07.14;Ðiauliø sanatorinë mokykla;Prekës;Statybinës medþiagos ir panaðûs gaminiai;Vnt. (vienetai);18;297,36;Apklausa þodþiu;"UAB ,,Jupojos statybinës medþiagos""";44100000-1;nëra
2016.07.14;Ðiauliø sanatorinë mokykla;Prekës;Statybinës medþiagos ir panaðûs gaminiai;Vnt. (vienetai);11;7,82;Apklausa þodþiu;"UAB ,,Jupojos statybinës medþiagos""";44100000-1;nëra
2016.07.14;BÁ Ðiauliø miesto savivaldybës Socialiniø paslaugø centras;Paslaugos;Motoriniø transporto priemoniø civilinës atsakomybës draudimas;Vnt. (vienetai);1;61;Neskelbiama apklausa raðtu;"AAS"" BTA Baltic Company"" filialas Lietuvoje";66516100-1;-
2016.07.14;BÁ Ðiauliø miesto savivaldybës Socialiniø paslaugø centras;Paslaugos;Transporto priemoniø remonto paslaugos;Vnt. (vienetai);1;456;Apklausa þodþiu;Gintauto Kolosevièiaus ámonë;50112300-6;-
2016.07.15;Lopðelis-darþelis „Þiogelis“;Paslaugos;Statinio techninë apþiûra;Vnt. (vienetai);1;60;Apklausa þodþiu;V. Grinius;50700000-2;-
2016.07.15;Ðiauliø lengvosios atletikos ir sveikatingumo centras;Prekës;34913000-0;Vnt. (vienetai);2;5,2;Apklausa þodþiu;UAB Ermitaþas;ávairios atsarginës dalys;0
2016.07.15;BÁ Ðiauliø kultûros centras;Paslaugos;Poilsio, kultûros ir sporto paslaugos;Vnt. (vienetai);1000;568,7;Apklausa þodþiu;UAB BOD Group;92000000-1;-
2016.07.15;BÁ Ðiauliø kultûros centras;Paslaugos;Keleiviniø transporto priemoniø nuoma su vairuotoju;km;325;315;Apklausa þodþiu;"UAB ,,Transbusas"" Ðiauliø rajono filialas";60170000-0;-
2016.07.15;BÁ Ðiauliø kultûros centras;Prekës;Gëliø kompozicijos ir puokðtës;Vnt. (vienetai);3;55;Apklausa þodþiu;Daivos Vaièaitienës individuali veikla;03121210-0;-
2016.07.15;BÁ Ðiauliø miesto savivaldybës vieðoji biblioteka;Prekës;Dëklas fotoaparatui, fotoaparatas, atminties kortelë;Vnt. (vienetai);3;213,71;Apklausa þodþiu;UAB „Topo grupë“;38650000-6 (dëklas fotoaparatui) 38651000-3 (fotoaparatas) 30200000-0 (atminties kortelë) ;-
2016.07.15;BÁ Ðiauliø miesto savivaldybës Socialiniø paslaugø centras;Paslaugos;Bilietai;Vnt. (vienetai);9;33,75;Apklausa þodþiu;"UAB ""Forum cinemas""";22459100-3;-
2016.07.18;Lopðelis-darþelis „Þiogelis“;Prekës;Ðviestuvai;Vnt. (vienetai);10;147,06;Apklausa þodþiu;"UAB ""Kesko Senukai Lithuania""";31000000-6;-
2016.07.18;Lopðelis-darþelis „Þiogelis“;Prekës;Vandens minkðtytojas;Vnt. (vienetai);1;72,6;Apklausa þodþiu;"UAB ""Baltic master""";44000000-0;-
2016.07.18;Lopðelis-darþelis „Þiogelis“;Prekës;Statybinës prekës;Vnt. (vienetai);17;32,03;Apklausa þodþiu;"UAB ""Mimeta""";44190000-8;-
2016.07.18;Lopðelis-darþelis „Þiogelis“;Paslaugos;Patalpø remontas;M2;185;1050;Apklausa þodþiu;A. Javtuðenka;50700000-2;-
2016.07.18;Ðiauliø sanatorinë mokykla;Prekës;Statybinës medþiagos ir panaðûs gaminiai;Vnt. (vienetai);5;19,72;Apklausa þodþiu;"UAB ,,Makveþa""";44100000-1;nëra
2016.07.18;Ðiauliø miesto savivaldybës ðvietimo centras;Paslaugos;Autobuso remonto paslauga;Vnt. (vienetai);1;91,96;Apklausa þodþiu;"UAB ""Pabaliø autoservisas""";50113100-1;Nëra
2016.07.18;BÁ Ðiauliø kultûros centras;Paslaugos;Meninës paslaugos;Vnt. (vienetai);1;103;Apklausa þodþiu;Eugenijus Rimantas Cininas;92312000-1;-
2016.07.18;BÁ Ðiauliø miesto savivaldybës vieðoji biblioteka;Prekës;Knygos;Vnt. (vienetai);54;393,62;CVP IS Pirkimas 284123;"UAB ""Vagos prekyba""";22110000-4;-
2016.07.18;BÁ Ðiauliø miesto savivaldybës vieðoji biblioteka;Prekës;Knygos;Vnt. (vienetai);3;21;CVP IS Pirkimas 280551;"VðÁ ""Terra Publica""";22110000-4;-
2016.07.19;BÁ Ðiauliø miesto savivaldybës sutrikusio vystymosi kûdikiø namai;Prekës;Plastikiniai gaminiai;Vnt. (vienetai);5;15,75;Apklausa þodþiu;"UAB,,Plastos maþmena""";19520000-7;nëra
2016.07.19;BÁ Ðiauliø miesto savivaldybës globos namai;Prekës;Nuotraukos;Vnt. (vienetai);25;65,79;Apklausa þodþiu;A. Vileikio fotografijos centras;22315000-1;-
2016.07.19;BÁ Ðiauliø kultûros centras;Prekës;Daþai;vnt., ml;365;110,84;Apklausa þodþiu;"UAB ,,Jupojos statybinës medþiagos""";44810000-1;-
2016.07.19;BÁ Ðiauliø miesto savivaldybës vieðoji biblioteka;Prekës;Knygos;Vnt. (vienetai);28;207,81;CVP IS Pirkimas 284123;"UAB ""Baltø lankø"" leidyba";22110000-4;-
2016.07.19;BÁ Ðiauliø miesto savivaldybës vieðoji biblioteka;Prekës;Knygos;Vnt. (vienetai);14;136,51;CVP IS Pirkimas 284123;"UAB ""Patogu pirkti""";22110000-4;-
2016.07.20;Ðiauliø miesto savivaldybës administracijos Turto valdymo skyrius;Paslaugos;Ðiauliø miesto savivaldybei priklausanèio nekilnojamojo turto vertinimo paslauga;Vnt. (vienetai);7;992,2;Neskelbiama apklausa raðtu;"IÁ ""Eksperts""";79419000-4;nëra
2016.07.20;Logopedinis lopðelis - darþelis;Paslaugos;Ávairios paslaugos;Vnt. (vienetai);1;26,55;Apklausa þodþiu;Valstybës ámonë Registrø centras;98300000-6;-
2016.07.20;Logopedinis lopðelis - darþelis;Prekës;"Ávairûs rankiniai árankiai; Ávairios statybinës medþiagos";vnt, komp;18;45,36;Apklausa þodþiu;"UAB ,,Makveþa""";"44512000-2; 44190000-8";-
2016.07.20;Ðiauliø miesto savivaldybës ðvietimo centras;Prekës;Akumuliatoriai,galvaniniai elementai ir baterijos;Vnt. (vienetai);1;11,37;Apklausa þodþiu;"MB ""Baterija LT plius""";31400000-0;Nëra
2016.07.20;Lopðelis-darþelis „Coliukë“;Prekës;Grindjuostës ir kampai;Vnt. (vienetai);89;150,22;Apklausa þodþiu;UAB Jupojos SM;44810000-1, 31532900-3;-
2016.07.20;Lopðelis-darþelis „Coliukë“;Prekës;Apdailos medþiagos;Vnt. (vienetai);316;20,75;Apklausa þodþiu;UAB Jupojos SM;33100000;-
2016.07.20;Lopðelis-darþelis „Coliukë“;Prekës;Daþymo priemonës;Vnt. (vienetai);7;14,15;Apklausa þodþiu;UAB Jupojos SM;24542000-5, 44800000-8;-
2016.07.20;BÁ Ðiauliø kultûros centras;Prekës;Televizijos ir radijo imtuvai ir garso ar vaizdo áraðymo arba atkûrimo aparatai;vnt., kompl.;6;7749,2;Skelbiama apklausa raðtu;"UAB ,,Milgreta""";32300000-6;-
2016.07.20;BÁ Ðiauliø miesto savivaldybës vieðoji biblioteka;Prekës;Knygos;Vnt. (vienetai);3;28,44;CVP IS Pirkimas 284123;"UAB ""Alma littera sprendimai""";22110000-4;-
2016.07.21;Lopðelis-darþelis „Eglutë“;Prekës;Blankai;Vnt. (vienetai);70;6,81;Apklausa þodþiu;"UAB ""Blankø leidykla""";22800000-8;-
2016.07.21;Lopðelis-darþelis „Coliukë“;Paslaugos;Dulkiø siurblio nuoma(pramoninio);Vnt. (vienetai);1;15,25;Apklausa þodþiu;UAB Mechanizmø nuoma;42122450-9;-
2016.07.21;Ðiauliø Normundo Valterio jaunimo mokykla;Prekës;Baldø dalys;Vnt. (vienetai);3;170,57;Apklausa þodþiu;UAB ,, Bg Verso '';39157000;Nëra
2016.07.21;Ðiauliø sanatorinë mokykla;Prekës;Statybinës medþiagos ir panaðûs gaminiai;Vnt. (vienetai);54;45,05;Apklausa þodþiu;"UAB ,,Ðiauliø lyra""";44100000-1;nëra
2016.07.22;Lopðelis-darþelis „Coliukë“;Paslaugos;Transporto paslauga;Vnt. (vienetai);1;9;Apklausa þodþiu;UAB Kesko Senukai Lithuania;60170000;-
2016.07.22;Lopðelis-darþelis „Coliukë“;Prekës;Apdailos prekës;Vnt. (vienetai);93;577,19;Apklausa þodþiu;UAB KESKO SENUKAI LITHUANIA;44112230-9, 39370000-6;-
2016.07.22;Lopðelis-darþelis „Coliukë“;Paslaugos;Statybos- remonto darbai;Vnt. (vienetai);1;1000;Neskelbiama apklausa raðtu;Nerijus Sketrys, verslo liudijimo Nr. PD 350100-1;45200000;-
2016.07.22;Ðiauliø sanatorinë mokykla;Paslaugos;Árenginiø remontas ir prieþiûra;Vnt. (vienetai);3;30;Apklausa þodþiu;"UAB ,,Viva motor""";45259000-7;nëra
2016.07.22;Ðiauliø sanatorinë mokykla;Prekës;Statybinës medþiagos ir panaðûs gaminiai;Vnt. (vienetai);7;10,88;Apklausa þodþiu;"UAB ,,Makveþa""";44100000-1;nëra
2016.07.22;Ðiauliø sanatorinë mokykla;Prekës;Specialios paskirties elektros prekës;Vnt. (vienetai);1;4,43;Apklausa þodþiu;"UAB ,,Dogas""";42992000-6;nëra
2016.07.22;Ðiauliø sanatorinë mokykla;Prekës;Specialios paskirties elektros prekës;Vnt. (vienetai);10;9,46;Apklausa þodþiu;"UAB ,,Milgreta""";42992000-6;nëra
2016.07.22;Ðiauliø sanatorinë mokykla;Paslaugos;Informavimui ir reklamai skirti produktai;Vnt. (vienetai);1;363;Apklausa þodþiu;"UAB ,,Impress mobile""";39294100-0;nëra
2016.07.22;BÁ Ðiauliø kultûros centras;Prekës;Elektroniniai, elektromechaniniai ir elektrotechniniai reikmenys;Vnt. (vienetai);24;35,65;Apklausa þodþiu;"UAB ,,Milgreta""";31700000-3;-
2016.07.22;BÁ Ðiauliø kultûros centras;Prekës;Elektroniniai, elektromechaniniai ir elektrotechniniai reikmenys;Vnt. (vienetai);9;12,47;Apklausa þodþiu;"UAB ,,Dogas""";31700000-3;-
2016.07.22;Ðiauliø sanatorinë mokykla;Darbai;Informavimui ir reklamai skirti produktai;Vnt. (vienetai);2;1547,59;Neskelbiama apklausa raðtu;"UAB ,,Fluxus""";39294100-0;nëra
2016.07.25;Sporto mokykla „Atþalynas“;Paslaugos;Projektavimo paslauga;Vnt. (vienetai);1;16900;Neskelbiama apklausa raðtu;"MB ""Namo projektas""";71000000;nëra
2016.07.25;BÁ Ðiauliø miesto savivaldybës globos namai;Paslaugos;Tinklo kûrimo, interneto ir intraneto programinës árangos kûrimo paslaugos;Mën (mënesiai);12;360;Apklausa þodþiu;"IV Vidmantas Uðackas ,,Webmanija""";72212220-7;-
2016.07.25;BÁ Ðiauliø miesto savivaldybës globos namai;Prekës;Oro kondicionavimo;Vnt. (vienetai);2;68,69;Apklausa þodþiu;UAB Amalva;42512500-3;-
2016.07.25;Lopðelis-darþelis „Eglutë“;Paslaugos;El.paraðo sertifikatai;Vnt. (vienetai);1;43,33;Apklausa þodþiu;VÁ Registrø centras;98300000-6;-
2016.07.25;Lopðelis-darþelis „Coliukë“;Paslaugos;Statybiniø atliekø iðveþimas;Vnt. (vienetai);1;20;Apklausa þodþiu;UAB Specializuotas transportas;14212000-0;-
2016.07.25;Ðiauliø miesto savivaldybës administracijos Statybos skyrius;Darbai;Pastatø griovimo ir ardymo bei þemës perstûmos darbai;Mën (mënesiai);2;3945,42;Neskelbiama apklausa raðtu;"UAB ""Dokesta""";45110000-1;0
2016.07.25;Ðiauliø sanatorinë mokykla;Prekës;Statybinës medþiagos ir panaðûs gaminiai;Vnt. (vienetai);2;60,43;Apklausa þodþiu;"UAB ,,Jupojos statybinës medþiagos""";44100000-1;nëra
2016.07.25;Ðiauliø sanatorinë mokykla;Prekës;Medienos droþliø plokðtës;Komplektas;1;295;Apklausa þodþiu;"UAB ,,Zelma""";44191300-8;nëra
2016.07.25;BÁ Ðiauliø kultûros centras;Paslaugos;Meninës paslaugos;Vnt. (vienetai);1;93;Apklausa þodþiu;Romualdas Volodka;92312000-1;-
2016.07.25;BÁ Ðiauliø miesto savivaldybës vieðoji biblioteka;Prekës;"Kalkuliatorius ""Citizen""; Klijai skysti ""Forpus""";Vnt. (vienetai);9;14,61;Apklausa þodþiu;"UAB ""Ðiauliø lyra""";"30141200-1; 24910000-6";-
2016.07.26;Ðiauliø miesto savivaldybës ðvietimo centras;Paslaugos;Padangos remontas;Vnt. (vienetai);1;24,2;Apklausa þodþiu;Arûno Baikos paslaugø ámonë;50116500-6;Nëra
2016.07.26;Ðiauliø miesto savivaldybës ðvietimo centras;Prekës;Mini traktoriaus dirþas;Vnt. (vienetai);3;94;Apklausa þodþiu;SKAGENAS UAB;16810000-6;Nëra
2016.07.26;BÁ Ðiauliø miesto savivaldybës sutrikusio vystymosi kûdikiø namai;Prekës;Daþikliai ir pigmentai;Vnt. (vienetai);3;16,7;Apklausa þodþiu;"UAB ,,Jupojos statybinës medþiagos""";24200000-6;nëra
